MAE,MSE,Precision,Recall
1.8355546672852623,4.197008860915234,0.42,0.3192740409957154
1.784764075085546,3.967289212169423,0.469,0.3658093161313573
1.8280983848398633,4.079485647341773,0.39799999999999996,0.29357871570734256
1.8355546672852623,4.197008860915234,0.42,0.3192740409957154
1.8348456980977543,4.157626442926148,0.37799999999999995,0.2885277755218963
1.8280983848398633,4.079485647341773,0.39799999999999996,0.29357871570734256
1.7176771614640225,3.76720886856748,0.484,0.3723925906270864
1.7458042445357762,3.83344346452645,0.452,0.33864102875138263
1.719150247066567,3.7843336195855595,0.49,0.37772045637507934
1.7047558306575181,3.759004941878472,0.484,0.37699592253956155
1.701603054226915,3.7582059945185273,0.513,0.40029598385981396
1.7421588329570914,3.859950636744149,0.47200000000000003,0.3632273575973023
