Model,MAE,MSE,Precision,Recall,VI_users,VI_items
dc_DP,1.160779870780983,2.562735800252184,0.5425,0.5051331938521836,0.5696071667901538,0.14786952274289258
dc_PY,1.1384065952092832,2.401982714434662,0.5505,0.5123293741983252,0.0,0.07592430235539871
dc_GN,1.1432464820067667,2.4459424899816633,0.5485,0.5104998287437799,0.20157585147430196,0.15637792824742647
dc_DP_cov,1.1443825462551982,2.4572089632574436,0.5489999999999999,0.5109543741983252,0.2019123680786271,0.1050354564242543
dc_PY_cov,1.1443825462551982,2.4572089632574436,0.5489999999999999,0.5109543741983252,0.2019123680786271,0.1050354564242543
dc_GN_cov,1.1443825462551982,2.4572089632574436,0.5489999999999999,0.5109543741983252,0.2019123680786271,0.1050354564242543
esbm_DP,1.1591916132789792,2.488017976230247,0.5405,0.5031445851666693,2.0637333691714503,2.4510038431290595
esbm_PY,1.1575307451940193,2.483694629149208,0.5425,0.5070316291941931,2.0637333691714503,2.4583769918147533
esbm_GN,1.1619071403927534,2.4981002144523736,0.542,0.5046083456708709,2.066246813857772,2.4510038431290595
esbm_DP_cov,1.1596128227206157,2.490690511637073,0.5402499999999999,0.5022934365732606,2.055405001113094,2.3595553236835216
esbm_PY_cov,1.1621663223373673,2.498048088071069,0.5427500000000001,0.5057803736128292,2.0258946183909705,2.2700163562219497
esbm_GN_cov,1.160764956869199,2.4957613888857355,0.5427500000000001,0.5058190587479144,2.0525449772301156,2.35778492025016
